"code_muni","year","biome","LV","LTA","UR","SDII","TASMAX","TASMIN","PREC_MEAN","PREC_SUM"
"1100205",2001,"Amazonia + Pantanal",0,0.00585231296827823,76.545,5.475,31.39,20.9375,5.2375,158.7275
"1100205",2002,"Amazonia + Pantanal",0,0.00402558314522197,75.1266666666667,5.28333333333333,30.4116666666667,21.0808333333333,5.2275,158.444166666667
"1100205",2003,"Amazonia + Pantanal",0,0.00398451730418944,77.3858333333333,5.35833333333333,30.575,21.1833333333333,5.35083333333333,162.298333333333
"1100205",2004,"Amazonia + Pantanal",5.19010040249229e-06,0.00405632940456146,78.9866666666667,5.55,31.1433333333333,21.0958333333333,5.10666666666667,155.285
"1100205",2005,"Amazonia + Pantanal",0,0.00185220914528265,77.2366666666667,5.35833333333333,31.0575,21.12,5.23,158.316666666667
"1300631",2001,"Amazonia + Pantanal",0,0.00415576419886101,77.1208333333333,6.04166666666667,30.3741666666667,20.2008333333333,5.09,153.940833333333
"1300631",2002,"Amazonia + Pantanal",8.18531554391422e-05,0.0037663335895465,78.09,5.35,30.5483333333333,20.3933333333333,4.99333333333333,151.425833333333
"1300631",2003,"Amazonia + Pantanal",0,0.00330159705159705,79.445,5.9,30.605,20.4816666666667,5.09166666666667,154.3
"1300631",2004,"Amazonia + Pantanal",0,0.00337475072863936,75.7266666666667,5.74166666666667,30.26,20.395,5.00916666666667,152.194166666667
"1300631",2005,"Amazonia + Pantanal",0,0.00206864848299111,78.1691666666667,6.3,30.1358333333333,20.4233333333333,4.96916666666667,150.463333333333
"1302603",2001,"Amazonia + Pantanal",0,0.000287480235733793,78.0366666666667,5.675,30.7675,20.1308333333333,5.15833333333333,156.039166666667
"1302603",2002,"Amazonia + Pantanal",3.94658948891666e-06,0,75.24,5.75833333333333,30.3491666666667,20.31,5.04333333333333,152.904166666667
"1302603",2003,"Amazonia + Pantanal",1.28256019535957e-06,0.000202238101658352,76.5,5.43333333333333,31.2891666666667,20.3933333333333,5.17083333333333,156.773333333333
"1302603",2004,"Amazonia + Pantanal",2.50409732925499e-06,0.000262106021885853,78.5766666666667,5.58333333333333,31.2475,20.3091666666667,5.06166666666667,153.7775
