"Índice de Risco de Impacto para temperatura (média)","Índice de Risco de Impacto para temperatura (mediana)","Índice de Risco de Impacto para temperatura (PCA)"
0.359268983320959,0.371304144173429,0.49176062053645
0.542171004638456,0.5,0.67327429039386
0.461586446937339,0.41,0.609605464995354
0.470718710266456,0.466128963244453,0.600895489911717
0.380103322047863,0.330460857248897,0.50100037424417
0.324481553113431,0.325407114560092,0.403356987717575
0.435618845684632,0.42,0.574812853221841
0.555907988035666,0.544484086929946,0.698517849524936
0.323100812965606,0.348768828197841,0.433841314155676
0.572958053677941,0.44,0.736905933903891
0.494387829020932,0.44,0.633417877585664
0.341081780997234,0.30104350566943,0.453233819816928
0.457863649187303,0.531403136815697,0.618953293326164
0.394048802929512,0.390673604526906,0.516355462076791
0.569816226680173,0.539733691419554,0.721678283489403
0.412227056437328,0.375718257688139,0.506893901375483
0.589252377388077,0.55,0.731413918290518
0.48775412038807,0.5,0.64165313979054
0.622214232098665,0.639019222441778,0.785605766914391
0.30791990618533,0.436846380163591,0.440345887176774
0.465407334219042,0.39,0.606156433305923
0.376082285221543,0.415968888987934,0.461059188822244
0.438194807404892,0.45,0.555403088666393
0.455617875865416,0.45,0.574719940928647
0.397108460226335,0.42,0.51511718338445
0.402809583065954,0.48,0.549399893288554
0.570657779939903,0.59,0.719796794821336
0.479126213613346,0.49,0.599451186133547
0.385703687306171,0.43,0.506911659130083
0.537823390604102,0.606136824096529,0.660312430436639
0.405758209145545,0.390470494442993,0.500305968646481
0.684144427928376,0.657972050544249,0.872433148930788
0.468508888041757,0.5,0.636771268193681
0.495710090292163,0.521673212848493,0.609182455030311
0.481926848288922,0.467522947602439,0.647916974247778
0.526158007556397,0.546239739047663,0.645307006652417
0.652068742867041,0.63689182877659,0.831356387950507
0.403871854199757,0.46,0.550089855509248
0.420226410672293,0.38,0.550658971205557
0.459825480097269,0.41,0.566657960363464
0.317433878117917,0.270433339846738,0.421707021136376
0.341511772989486,0.41,0.466494142521088
0.505751822183749,0.45,0.645354260999262
0.524165605949948,0.46,0.681988629729344
0.487821119737543,0.47,0.646740269325959
0.567763284248552,0.54,0.734231907186163
0.548163170767689,0.564283219494486,0.688935413177725
0.283498632880294,0.274712699296369,0.410333793601516
0.585196075878211,0.567058780453216,0.73932829676154
0.388469605843915,0.46,0.522274849927379
0.403976961683418,0.390515364777008,0.537642890945288
0.444634372717915,0.5,0.598990950069809
0.481755269007189,0.504592384916587,0.598208030934684
0.429518243171355,0.35377563868271,0.516563339709333
0.414999769011235,0.469843467070399,0.48987625374351
0.493473648793843,0.583598524481015,0.594724292144825
0.507713944257868,0.596949835178404,0.60934857194534
0.455598840959677,0.560966850431366,0.522411486275328
0.352597071005588,0.428490580903322,0.41352598285981
0.307465590900298,0.326015926475705,0.355805958333473
0.152084274414418,0.139452606589093,0.180154478329286
0.407852453077571,0.507535349618403,0.459049362757678
0.492462711775261,0.49666526807667,0.592215842339032
0.229951511429822,0.178594149977507,0.279077126789966
0.502883407458108,0.488708914719833,0.624846814678099
0.281097797655922,0.273265740218653,0.333258528018406
0.406652704668636,0.399396723789309,0.485165885451387
0.434929188263962,0.510225574382154,0.498379431734663
0.186066924095201,0.16,0.238431605070314
0.496411126593163,0.489852558719588,0.615174643623184
0.389991026883747,0.455878611337092,0.466758920792038
0.343566657731206,0.373337773424349,0.39232479063947
0.324092256652422,0.305287316228652,0.397995629900955
0.497820166197184,0.541912162588966,0.609429658128247
0.39558344536047,0.47,0.534791700549085
0.354593593528142,0.368921401961614,0.440895612035903
0.488662539921446,0.475063027083976,0.652592540229515
0.480779555922607,0.553695437776082,0.65247986736581
0.612348767082618,0.67,0.803279158520689
0.397244026281507,0.340801276176479,0.479118381418119
0.530370882021336,0.681626975189413,0.733134871952194
0.464339086965864,0.45,0.618004008420948
0.599765452733918,0.607291543753733,0.814685324878081
0.375371521743715,0.411893109414088,0.443310911081471
0.518297993088474,0.481541911682685,0.678417578248156
0.615532081714,0.689695313426271,0.831905992635169
0.41491408393914,0.383169681273608,0.510271573317657
0.535407460318693,0.559535762884275,0.698213974619075
0.563932166712985,0.59,0.743314868744678
0.582289513101208,0.6,0.765974615529661
0.342269406223195,0.39,0.466930853626702
0.682418342122314,0.68,0.882537534592509
0.645380557725505,0.68,0.822891217666849
0.393865672618746,0.458133137883552,0.536576198133349
0.373462553328986,0.328416224020445,0.502026621344748
0.30073487539889,0.2,0.389766066764417
0.32613208080035,0.2,0.422476097493499
0.411610596289745,0.38,0.529846568408347
0.409984602927399,0.431216610382659,0.474733110264387
0.573543343359343,0.585160947399345,0.746475883954991
0.271241913777239,0.141273031022207,0.342755312111637
0.630457671287054,0.61,0.83210620201097
0.610741040513549,0.69,0.819212302163907
0.433060979874655,0.37,0.581515935019282
0.532597067396122,0.648320273399578,0.726256539901767
0.392662337858788,0.227243211557292,0.498020260741025
