"Uso e ocupação do solo","Malha rodoviária","Serviços de saúde","Perfil Epidemiológico da Malária","Mobilidade Populacional","Suscetibilidade Social","Índice de Capacidade Adaptativa","Índice de sensibilidade","Índice de Exposição","Índice de Vulnerabilidade","Índice de Risco de Impacto para temperatura (média)","Índice de Risco de Impacto para temperatura (mediana)","Índice de Risco de Impacto para temperatura (PCA)"
0.413288272193228,0,0.265,0.00205412476895097,0.215,0.525,0.265,0.481149339990687,0.206644136096614,0.373074669995344,0.359906268697319,0.373074669995344,0.503490602041474
0.79223355512397,0.5,0.415,0.478520493873209,0.2,0.46,0.415,0.549703291725161,0.646116777561985,0.482351645862581,0.542822807808188,0.5,0.321287593316684
0.456459268868177,0,0.5,0.0031464461443354,0.26,0.52,0.5,0.49671390579757,0.228229634434089,0.498356952898785,0.378862195777625,0.41,0.500102716319941
0.433306383661579,0.5,0.445,0.0108976322099325,0.645,0.29,0.445,0.490434661548189,0.466653191830789,0.467717330774095,0.471456840868295,0.467717330774095,0.395628912629841
0.161154571213767,0.5,0.1,0,0.515,0.465,0.1,0.562697333195558,0.330577285606884,0.331348666597779,0.380641984068221,0.331348666597779,0.491899384220637
0.150746277533801,0.5,0.305,0,0.28,0.48,0.305,0.474639061480426,0.3253731387669,0.389819530740213,0.325064223169038,0.3253731387669,0.598357842275706
0.499334161399452,0,0.775,0,0.24,0.54,0.775,0.502310254200434,0.249667080699726,0.638655127100217,0.436107402599981,0.42,0.432956521855975
0.707105018763752,0.5,0.56,0.0766675689206933,0.255,0.545,0.56,0.532171604827997,0.603552509381876,0.546085802413999,0.556546103931958,0.546085802413999,0.298453619158436
0.422027969652217,0,0.145,0.292293869131357,0.275,0.49,0.145,0.555505024062169,0.211013984826109,0.350252512031084,0.323755498952398,0.350252512031084,0.563144012377449
0.275787583870879,0.5,0.89,0.732654297940091,0.84,0.47,0.89,0.892970576565073,0.387893791935439,0.891485288282536,0.573126360072659,0.44,0.279140275924045
0.317742731145888,0.5,0.815,0.00750170650209424,0.235,0.48,0.815,0.45758284885311,0.408871365572944,0.636291424426555,0.495054263333166,0.44,0.371663585095572
0.101875992485605,0.5,0.12,0.0125126860846706,0.165,0.425,0.12,0.388487107918766,0.300937996242802,0.254243553959383,0.341727183400728,0.300937996242802,0.537090371591133
0.543819089764566,0,0.37,0.630164903983117,0.275,0.56,0.37,0.694817937665011,0.271909544882283,0.532408968832506,0.458106171238263,0.532408968832506,0.380229066836668
0.663421899495355,0,0.325,0,0.175,0.52,0.325,0.460020780441384,0.331710949747678,0.392510390220692,0.394740446656123,0.392510390220692,0.479359339514236
0.580263379653711,0.5,0.8,0.00767403382693521,0.445,0.475,0.8,0.542558737395147,0.540131689826855,0.671279368697573,0.570470352841476,0.540131689826855,0.28154928521112
0.503039732799804,0.5,0.165,0.00193328494018198,0.735,0.375,0.165,0.589228787956201,0.501519866399902,0.377114393978101,0.412878086792668,0.377114393978101,0.489322844423546
0.930841931338991,0.5,0.23,0.632645427255411,0.785,0.38,0.23,0.777070699836529,0.715420965669495,0.503535349918264,0.58965210519592,0.55,0.262034373858396
0.161523447914017,0.5,0.705,0.00425137777787409,0.45,0.5,0.705,0.562349574794248,0.330761723957009,0.633674787397124,0.488145503784711,0.5,0.362733853860979
0.795476917784497,0.5,0.785,0.0857745804735503,0.2,0.525,0.785,0.496457221827086,0.647738458892249,0.640728610913543,0.62282235660193,0.640728610913543,0.21283639707042
0.0735248810642186,0,0.475,0.00186589151482527,0.17,0.445,0.475,0.402697702653374,0.0367624405321093,0.438848851326687,0.308537097286265,0.438848851326687,0.56092153921745
0.554095010662436,0,0.5,0,0.225,0.495,0.5,0.462561645681401,0.277047505331218,0.4812808228407,0.38277610939064,0.39,0.502812582118557
0.332409533695861,0.5,0.265,0.0090227377934652,0.7,0.41,0.265,0.602278076149936,0.416204766847931,0.433639038074968,0.376614601640966,0.416204766847931,0.54085228216228
0.433377825137492,0.5,0.32,0.00205440556043242,0.22,0.52,0.32,0.479547006285182,0.466688912568746,0.399773503142591,0.438820805237112,0.45,0.439417717425376
0.484262413985997,0.5,0.335,0.0804861450862694,0.185,0.565,0.335,0.518462441985965,0.492131206992999,0.426731220992983,0.456287475995327,0.45,0.420850134695046
0.167294380725076,0.5,0.5,0.0022744301819393,0.14,0.43,0.5,0.379000866735536,0.333647190362538,0.439500433367768,0.397715874576769,0.42,0.483666356068237
0.344436617199251,0,0.625,0.00459316329046174,0.165,0.565,0.625,0.490403708817585,0.172218308599625,0.557701854408793,0.403306721002806,0.48,0.454265856294552
0.808770105991606,0.5,0.435,0.192267871138392,0.135,0.535,0.435,0.503971483308744,0.654385052995803,0.469485741654372,0.571290264883392,0.59,0.271487803826058
0.654146236962663,0.5,0.285,0.00960988051256765,0.125,0.545,0.285,0.459963826201945,0.577073118481332,0.372481913100973,0.479851677194101,0.49,0.391742436108201
0.581443449817171,0,0.4,0,0.195,0.53,0.4,0.475889068993402,0.290721724908586,0.437944534496701,0.386222086468429,0.43,0.492122120924923
0.712625217533682,0.5,0.69,0.0117504220258573,0.355,0.505,0.69,0.527899866345568,0.606312608766841,0.608949933172784,0.538420847313208,0.606312608766841,0.342703495111231
0.453207730071573,0.5,0.295,0.00904650557191749,0.16,0.565,0.295,0.489444205805146,0.476603865035786,0.392222102902573,0.40627532264612,0.392222102902573,0.497169282435934
0.816551969953088,0.5,0.76,1,0.23,0.505,0.76,0.730572898119251,0.658275984976544,0.745286449059626,0.68452081134539,0.658275984976544,0.128266654673063
