"code_muni","year","biome","LTA"
1100015,2001,1,0.00585231296827823
1100015,2002,1,0.00402558314522197
1100015,2003,1,0.00398451730418944
1100015,2004,1,0.00405632940456146
1100015,2005,1,0.00185220914528265
1100379,2001,1,0.00415576419886101
1100379,2002,1,0.0037663335895465
1100379,2003,1,0.00330159705159705
1100379,2004,1,0.00337475072863936
1100379,2005,1,0.00206864848299111
1100403,2001,1,0.000287480235733793
1100403,2002,1,0
1100403,2003,1,0.000202238101658352
1100403,2004,1,0.000262106021885853
1100403,2005,1,0.000318897888895975
1100346,2001,1,0.00206289308176101
1100346,2002,1,0.0014338385907415
1100346,2003,1,0.00244715193168801
1100346,2004,1,0.0012701100762066
1100346,2005,1,0.00242039586919105
1100023,2001,1,0.0020478165156402
1100023,2002,1,0.00192444672156755
1100023,2003,1,0.00151639294143544
1100023,2004,1,0.00221663072130362
1100023,2005,1,0.00135109732600216
1100452,2001,1,0.00180945347119646
1100452,2002,1,0.00208041895333405
1100452,2003,1,0.00331947307732625
1100452,2004,1,0.00163638223161627
1100452,2005,1,0.00226417607298638
1100031,2001,1,0.000531632110579479
1100031,2002,1,0.000677139761646804
1100031,2003,1,0.00151661381497311
1100031,2004,1,0.00322671156004489
1100031,2005,1,0.000713775874375446
1100601,2001,1,0.00216841344416335
1100601,2002,1,0.00448189315166726
1100601,2003,1,0.00249154653852999
1100601,2004,1,0.00106025799611239
1100601,2005,1,0.0012287168685273
1100049,2001,1,0.00183408764036048
1100049,2002,1,0.00145295565212838
1100049,2003,1,0.00145530145530146
1100049,2004,1,0.00183221078165725
1100049,2005,1,0.00194784391619145
1100700,2001,1,0.00303464553654219
1100700,2002,1,0.00283144570286476
1100700,2003,1,0.00222368637786197
1100700,2004,1,0.00277076032923152
1100700,2005,1,0.00322632682690757
1100809,2001,1,0
1100809,2002,1,0
1100809,2003,1,0
1100809,2004,1,0.000364188163884674
1100809,2005,1,0
1100908,2001,1,0.0018957345971564
1100908,2002,1,0.000241196333815726
1100908,2003,1,0.00196222712779004
1100908,2004,1,0.00199451508352032
1100908,2005,1,0.00177394830207805
1100056,2001,1,0.000162636886045755
1100056,2002,1,0.00081917972803233
1100056,2003,1,0.000769822940723634
1100056,2004,1,0.000332115576220525
1100056,2005,1,0.000891464229997771
1100924,2001,1,0.00216811207471648
1100924,2002,1,0.000790388871324692
1100924,2003,1,0.00241290906348967
1100924,2004,1,0.00259927797833935
1100924,2005,1,0.00221790962018298
1100064,2001,1,0.00109399215972286
1100064,2002,1,0.0016703011181738
1100064,2003,1,0.0018399698056237
1100064,2004,1,0.00139068719129142
1100064,2005,1,0.00126730356794697
1100072,2001,1,0
1100072,2002,1,9.73425484279178e-05
1100072,2003,1,0.00089179548156956
1100072,2004,1,0.000504184733286276
1100072,2005,1,0.000615637184485943
1100080,2001,1,0.00335084223872487
1100080,2002,1,0.00238095238095238
1100080,2003,1,0.00282023289665211
1100080,2004,1,0.00331385715531525
1100080,2005,1,0.00410660408984244
1100940,2001,1,0.00177868123491297
1100940,2002,1,0.00178312715925554
1100940,2003,1,0.00140070035017509
1100940,2004,1,0.0010929957191001
1100940,2005,1,0.0025954454119223
1100098,2001,1,0.00292924740874268
