"code_muni","year","PREC_MEAN"
"2701506",2004,5.3625
"2701506",2005,5.07666666666667
"2701605",2001,3.58666666666667
"2701605",2002,3.07416666666667
"2701605",2003,3.42833333333333
"2701605",2004,3.59583333333333
"2701605",2005,3.2
"2701704",2001,6.81416666666667
"2701704",2002,6.2375
"2701704",2003,6.30666666666667
"2701704",2004,6.44666666666667
"2701704",2005,6.25416666666667
"2701803",2001,3.72583333333333
"2701803",2002,3.23666666666667
"2701803",2003,3.49166666666667
"2701803",2004,3.66833333333333
"2701803",2005,3.33666666666667
"2701902",2001,6.38916666666667
"2701902",2002,5.78083333333333
"2701902",2003,5.8875
"2701902",2004,6.1425
"2701902",2005,6.01916666666667
"2702009",2001,6.03666666666667
"2702009",2002,5.4575
"2702009",2003,5.65583333333333
"2702009",2004,5.88583333333333
"2702009",2005,5.745
"2702108",2001,6.8375
"2702108",2002,6.2625
"2702108",2003,6.13583333333333
"2702108",2004,6.44
"2702108",2005,6.31666666666667
"2702207",2001,6.7475
"2702207",2002,6.15
"2702207",2003,6.38083333333333
"2702207",2004,6.21166666666667
"2702207",2005,5.68333333333333
"2702306",2001,6.70416666666667
"2702306",2002,6.10583333333333
"2702306",2003,6.46916666666667
"2702306",2004,6.31083333333333
"2702306",2005,5.84583333333333
"2702355",2001,5.24416666666667
"2702355",2002,4.7325
"2702355",2003,4.91583333333333
"2702355",2004,5.15166666666667
"2702355",2005,4.96166666666667
"2702405",2001,3.14583333333333
"2702405",2002,2.6575
"2702405",2003,3.1525
"2702405",2004,3.19666666666667
"2702405",2005,2.80833333333333
"2702504",2001,4.04
"2702504",2002,3.575
"2702504",2003,3.765
"2702504",2004,4.00416666666667
"2702504",2005,3.70833333333333
"2702553",2001,4.35333333333333
"2702553",2002,3.915
"2702553",2003,4.0375
"2702553",2004,4.33916666666667
"2702553",2005,4.07916666666667
"2702603",2001,5.33166666666667
"2702603",2002,4.845
"2702603",2003,5.08166666666667
"2702603",2004,5.21416666666667
"2702603",2005,4.98916666666667
"2702702",2001,7.25166666666667
"2702702",2002,6.60833333333333
"2702702",2003,7.06916666666667
"2702702",2004,6.75
"2702702",2005,6.25083333333333
"2702801",2001,6.95416666666667
"2702801",2002,6.36166666666667
"2702801",2003,6.31333333333333
"2702801",2004,6.49166666666667
"2702801",2005,6.305
"2702900",2001,4.55333333333333
"2702900",2002,4.1
"2702900",2003,4.31916666666667
"2702900",2004,4.4925
"2702900",2005,4.26916666666667
"2703007",2001,6.22416666666667
"2703007",2002,5.66333333333333
"2703007",2003,5.6
"2703007",2004,6.05416666666667
"2703007",2005,5.93333333333333
"2703106",2001,5.24416666666667
"2703106",2002,4.7325
"2703106",2003,4.91583333333333
"2703106",2004,5.15166666666667
"2703106",2005,4.96166666666667
"2703205",2001,6.53916666666667
"2703205",2002,5.97083333333333
"2703205",2003,6.35583333333333
"2703205",2004,6.20583333333333
"2703205",2005,5.75333333333333
"2703304",2001,3.29833333333333
"2703304",2002,2.8
"2703304",2003,3.20833333333333
"2703304",2004,3.30916666666667
"2703304",2005,2.925
"2703403",2001,3.77916666666667
"2703403",2002,3.30083333333333
"2703403",2003,3.58
"2703403",2004,3.73333333333333
"2703403",2005,3.43166666666667
"2703502",2001,7.59666666666667
