"Uso e ocupação do solo","Malha rodoviária","Serviços de saúde","Perfil Epidemiológico da Malária","Mobilidade Populacional","Suscetibilidade Social","Índice de Capacidade Adaptativa","Índice de sensibilidade","Índice de Exposição","Índice de Vulnerabilidade","Índice de Risco de Impacto para umidade relativa (média)","Índice de Risco de Impacto para umidade relativa (mediana)","Índice de Risco de Impacto para umidade relativa (PCA)"
0.413288272193228,0,0.265,0.00205412476895097,0.215,0.525,0.265,0.481149339990687,0.206644136096614,0.373074669995344,0.293239602030653,0.3,0.334349449813604
0.79223355512397,0.5,0.415,0.478520493873209,0.2,0.46,0.415,0.549703291725161,0.646116777561985,0.482351645862581,0.476156141141522,0.482351645862581,0.283533102958723
0.456459268868177,0,0.5,0.0031464461443354,0.26,0.52,0.5,0.49671390579757,0.228229634434089,0.498356952898785,0.305528862444291,0.228229634434089,0.22603647869852
0.433306383661579,0.5,0.445,0.0108976322099325,0.645,0.29,0.445,0.490434661548189,0.466653191830789,0.467717330774095,0.371456840868295,0.466653191830789,0.194787468121288
0.161154571213767,0.5,0.1,0,0.515,0.465,0.1,0.562697333195558,0.330577285606884,0.331348666597779,0.293975317401554,0.330577285606884,0.252472313753863
0.150746277533801,0.5,0.305,0,0.28,0.48,0.305,0.474639061480426,0.3253731387669,0.389819530740213,0.318397556502371,0.3253731387669,0.26750835410262
0.499334161399452,0,0.775,0,0.24,0.54,0.775,0.502310254200434,0.249667080699726,0.638655127100217,0.376107402599981,0.249667080699726,0.260494305595054
0.707105018763752,0.5,0.56,0.0766675689206933,0.255,0.545,0.56,0.532171604827997,0.603552509381876,0.546085802413999,0.463212770598625,0.546085802413999,0.230211559080971
0.422027969652217,0,0.145,0.292293869131357,0.275,0.49,0.145,0.555505024062169,0.211013984826109,0.350252512031084,0.263755498952398,0.23,0.272409943403678
0.275787583870879,0.5,0.89,0.732654297940091,0.84,0.47,0.89,0.892970576565073,0.387893791935439,0.891485288282536,0.536459693405992,0.387893791935439,0.312439335952818
0.317742731145888,0.5,0.815,0.00750170650209424,0.235,0.48,0.815,0.45758284885311,0.408871365572944,0.636291424426555,0.4383875966665,0.408871365572944,0.271489376378452
0.101875992485605,0.5,0.12,0.0125126860846706,0.165,0.425,0.12,0.388487107918766,0.300937996242802,0.254243553959383,0.261727183400728,0.254243553959383,0.268985163801388
0.543819089764566,0,0.37,0.630164903983117,0.275,0.56,0.37,0.694817937665011,0.271909544882283,0.532408968832506,0.37477283790493,0.32,0.336327436720159
0.663421899495355,0,0.325,0,0.175,0.52,0.325,0.460020780441384,0.331710949747678,0.392510390220692,0.32140711332279,0.331710949747678,0.266709830145274
0.580263379653711,0.5,0.8,0.00767403382693521,0.445,0.475,0.8,0.542558737395147,0.540131689826855,0.671279368697573,0.480470352841476,0.540131689826855,0.220263191794616
0.503039732799804,0.5,0.165,0.00193328494018198,0.735,0.375,0.165,0.589228787956201,0.501519866399902,0.377114393978101,0.366211420126001,0.377114393978101,0.232514124485329
0.930841931338991,0.5,0.23,0.632645427255411,0.785,0.38,0.23,0.777070699836529,0.715420965669495,0.503535349918264,0.542985438529253,0.503535349918264,0.374039493584577
0.161523447914017,0.5,0.705,0.00425137777787409,0.45,0.5,0.705,0.562349574794248,0.330761723957009,0.633674787397124,0.381478837118044,0.330761723957009,0.19873343991047
0.795476917784497,0.5,0.785,0.0857745804735503,0.2,0.525,0.785,0.496457221827086,0.647738458892249,0.640728610913543,0.529489023268597,0.640728610913543,0.27403929915522
0.0735248810642186,0,0.475,0.00186589151482527,0.17,0.445,0.475,0.402697702653374,0.0367624405321093,0.438848851326687,0.235203763952932,0.23,0.284786961159845
0.554095010662436,0,0.5,0,0.225,0.495,0.5,0.462561645681401,0.277047505331218,0.4812808228407,0.356109442723973,0.31,0.329843045299451
