"Índice de Risco de Impacto para precipitação (média)","Índice de Risco de Impacto para precipitação (mediana)","Índice de Risco de Impacto para precipitação (PCA)"
0.265935649987625,0.22,0.641192051351441
0.465504337971789,0.480883899540955,0.379602268600823
0.381586446937339,0.228122333828609,0.434783741056926
0.384052043599789,0.466027167554916,0.479701477663875
0.276769988714529,0.32984910889469,0.631163003314008
0.321148219780098,0.325407114560092,0.572026648010058
0.362285512351299,0.249908301165888,0.478128046196793
0.449241321368999,0.544484086929946,0.385112282809625
0.273100812965606,0.26,0.63847828588344
0.512958053677941,0.387731890573919,0.254711291149548
0.431054495687599,0.408707011555745,0.396514457534652
0.2777484476639,0.28,0.649407243648257
0.387863649187303,0.36,0.473550151226392
0.320715469596179,0.33147280426163,0.571499612100775
0.479816226680173,0.539733691419554,0.329174333517214
0.378893723103994,0.375718257688139,0.503070507892271
0.515919044054744,0.502828723390924,0.317480232733422
0.391087453721404,0.331094980063305,0.443839244074977
0.525547565431999,0.639019222441778,0.281252889520078
0.241253239518664,0.25,0.663255211948974
0.428740667552375,0.28,0.386157393532804
0.376082285221543,0.415968888987934,0.498818858366954
0.374861474071559,0.397998950822933,0.504513769384608
0.405617875865416,0.425082383237041,0.464648884183205
0.333775126893001,0.333899342848869,0.547214602876825
0.316142916399287,0.22,0.549517621067755
0.470657779939903,0.467814089060252,0.376586072333867
0.41245954694668,0.370641116950814,0.464210836010057
0.332370353972837,0.290955099316134,0.551729626206107
0.497823390604102,0.606136824096529,0.320022679937979
0.402424875812212,0.390470494442993,0.476698279443274
0.570811094595043,0.657972050544249,0.209624897335174
0.368508888041757,0.2,0.454386412281626
0.462376756958829,0.521673212848493,0.358489357073736
0.375260181622255,0.348257597264327,0.496144530623667
0.522824674223063,0.546239739047663,0.278710747294339
0.545402076200375,0.63689182877659,0.249910554870554
0.330538520866423,0.24,0.52695539731816
0.380226410672293,0.26,0.460089829036116
0.423158813430602,0.407102817794289,0.445778245588003
0.25076721145125,0.251868294507013,0.679683919672181
0.284845106322819,0.24,0.602032357133589
0.409085155517082,0.440589052273312,0.419197746267326
0.444165605949948,0.343967857725723,0.356951852981205
0.404487786404209,0.259979839475562,0.411714545245424
0.451096617581885,0.454970489177176,0.35603741712946
0.454829837434356,0.564283219494486,0.376314103231035
0.183498632880294,0.2,0.757477437632062
0.501862742544878,0.567058780453216,0.302374748557531
0.305136272510581,0.223958733103731,0.574398888226045
0.337310295016751,0.311415520273246,0.555459011510516
0.354634372717915,0.23,0.494251271030756
0.461755269007189,0.504592384916587,0.374735956674365
0.482851576504688,0.35377563868271,0.303250461625201
0.454999769011235,0.469843467070399,0.371846270091654
0.51014031546051,0.583598524481015,0.31368716653594
0.514380610924535,0.596949835178404,0.296828810194721
0.57893217429301,0.560966850431366,0.213770485836116
0.399263737672255,0.428490580903322,0.463232553761295
0.397465590900298,0.43,0.498911099381148
0.262084274414418,0.256800216654161,0.67515802189575
0.571185786410905,0.51,0.229744407711304
0.545796045108595,0.49666526807667,0.240294419321266
0.329951511429822,0.39,0.56481774307018
0.486216740791441,0.488708914719833,0.327944142545671
0.394431130989255,0.43,0.478105901400844
0.41998603800197,0.399396723789309,0.452225187333144
0.571595854930628,0.510225574382154,0.220517345697945
0.249400257428535,0.278775166365513,0.684800686359517
0.489744459926497,0.489852558719588,0.326542452612361
0.429991026883747,0.455878611337092,0.426006888599818
0.450233324397873,0.47,0.42853941526913
0.357425589985755,0.305287316228652,0.517689164290286
0.501153499530517,0.541912162588966,0.319723489464308
0.40558344536047,0.5,0.463918897158058
0.467926926861475,0.384859378622812,0.4188879316188
0.391995873254779,0.370924592680362,0.475487046886018
0.394112889255941,0.35,0.461606833344685
0.509015433749284,0.488392827164775,0.299919391449461
0.583910692948173,0.69,0.221573088494292
0.36370421535467,0.219485670874596,0.468600441367544
0.384339086965864,0.228213705707913,0.439021525489164
0.363098786067251,0.392004814448021,0.474778944471539
0.532038188410382,0.494221455817057,0.335152083953884
0.431631326421807,0.443352067582737,0.433996413347452
0.392198748380667,0.386900931715729,0.426214328260649
0.428247417272474,0.4,0.449718176023912
0.398740793652027,0.356686618071804,0.482795441912564
0.477265500046318,0.389963261355104,0.332046091163966
0.518956179767874,0.41,0.281138614572127
0.418936072889862,0.515835618252487,0.454239973012808
0.525751675455648,0.586770713721542,0.253292389212874
0.465380557725505,0.570243467230781,0.357144890835696
0.373865672618746,0.45,0.508370738767118
0.326795886662319,0.328416224020445,0.582251965021257
0.417401542065557,0.55,0.442073374847406
0.429465414133683,0.51,0.412288529878585
0.438277262956412,0.46,0.41789670508362
0.576651269594066,0.55,0.217134143698298
0.493543343359343,0.505469082678686,0.335935209736614
0.414575247110572,0.532452710309509,0.453779439508653
0.483791004620387,0.38262810794387,0.283859473809262
0.430741040513549,0.360544716318084,0.366991373479657
0.483060979874655,0.52,0.321198828601351
0.365930400729455,0.279470928788787,0.469868398721585
0.555995671192122,0.71,0.255888700708027
0.463820913039531,0.51,0.36910981093989
0.525263349760043,0.64,0.282050411610992
0.526197968401305,0.528768277474909,0.283556855018127
0.432958903922279,0.365464624240103,0.38634560673351
0.396564801325164,0.292377941330594,0.493178270751399
0.335826949853113,0.374033686012725,0.552211739768985
0.476383153149916,0.481278656810306,0.373128817764051
0.4692786598098,0.4,0.347578252554993
0.480078994745163,0.55138715720094,0.330581744192815
0.336285370410839,0.287431404406771,0.492969748966843
0.333733506024292,0.277815531194694,0.527150709290473
0.37385055540316,0.28,0.468843997888491
0.517551576723023,0.510713741884086,0.284340295867892
0.308806100944035,0.367506177333019,0.561898303410474
0.331855168581609,0.439114048802441,0.563468027230062
0.475622195224742,0.507022152614149,0.308781864440276
0.4799921477354,0.380132750679444,0.298938941579248
0.369407775711863,0.45,0.504092049677948
0.577608745971955,0.630408561239452,0.247679194582489
0.519358996496597,0.423471301647182,0.352361364388224
0.464190314244195,0.397521795051012,0.423456910909846
0.382556361023677,0.273569417050305,0.426939071420023
0.346855950993624,0.279990022455309,0.496003829729049
0.44808311670468,0.32075476036062,0.458234875978376
0.568159401423565,0.49,0.212520797865529
0.504976272989924,0.54,0.297735667621307
0.479892132030022,0.470676440400482,0.387186027907959
0.443724535807424,0.45,0.387046925488682
0.329416320909279,0.226201100124475,0.495002923904423
0.311359031740339,0.377713942797603,0.563616905256101
0.455700749964305,0.429602249892914,0.301561172330135
0.331068512488298,0.164147663990113,0.473315113178205
0.306167988229385,0.444467940093072,0.560802478480579
