"code_muni","year","PREC_SUM"
"2701704",2003,191.398333333333
"2701704",2004,196.075833333333
"2701704",2005,189.675
"2701803",2001,112.684166666667
"2701803",2002,97.9208333333333
"2701803",2003,105.703333333333
"2701803",2004,111.4075
"2701803",2005,100.9525
"2701902",2001,193.603333333333
"2701902",2002,175.28
"2701902",2003,178.506666666667
"2701902",2004,186.790833333333
"2701902",2005,182.501666666667
"2702009",2001,182.8875
"2702009",2002,165.535833333333
"2702009",2003,171.528333333333
"2702009",2004,179.020833333333
"2702009",2005,174.23
"2702108",2001,207.24
"2702108",2002,189.825833333333
"2702108",2003,186.0875
"2702108",2004,195.976666666667
"2702108",2005,191.5725
"2702207",2001,204.578333333333
"2702207",2002,186.559166666667
"2702207",2003,194.084166666667
"2702207",2004,188.850833333333
"2702207",2005,172.444166666667
"2702306",2001,203.265
"2702306",2002,185.295833333333
"2702306",2003,196.673333333333
"2702306",2004,191.924166666667
"2702306",2005,177.293333333333
"2702355",2001,158.849166666667
"2702355",2002,143.488333333333
"2702355",2003,149.088333333333
"2702355",2004,156.630833333333
"2702355",2005,150.333333333333
"2702405",2001,95.0216666666667
"2702405",2002,80.28
"2702405",2003,95.2941666666667
"2702405",2004,97.0858333333333
"2702405",2005,84.775
"2702504",2001,122.200833333333
"2702504",2002,108.2325
"2702504",2003,113.9675
"2702504",2004,121.641666666667
"2702504",2005,112.244166666667
"2702553",2001,131.719166666667
"2702553",2002,118.5425
"2702553",2003,122.23
"2702553",2004,131.875
"2702553",2005,123.535
"2702603",2001,161.528333333333
"2702603",2002,147.03
"2702603",2003,154.251666666667
"2702603",2004,158.5725
"2702603",2005,151.235
"2702702",2001,220.033333333333
"2702702",2002,200.604166666667
"2702702",2003,214.980833333333
"2702702",2004,205.346666666667
"2702702",2005,189.644166666667
"2702801",2001,210.793333333333
"2702801",2002,192.908333333333
"2702801",2003,191.5925
"2702801",2004,197.474166666667
"2702801",2005,191.2475
"2702900",2001,137.905
"2702900",2002,124.335833333333
"2702900",2003,131.06
"2702900",2004,136.614166666667
"2702900",2005,129.339166666667
"2703007",2001,188.57
"2703007",2002,171.6075
"2703007",2003,169.585833333333
"2703007",2004,184.191666666667
"2703007",2005,179.8625
"2703106",2001,158.849166666667
"2703106",2002,143.488333333333
"2703106",2003,149.088333333333
"2703106",2004,156.630833333333
"2703106",2005,150.333333333333
"2703205",2001,198.306666666667
"2703205",2002,181.234166666667
"2703205",2003,193.246666666667
"2703205",2004,188.734166666667
"2703205",2005,174.463333333333
"2703304",2001,99.6683333333333
"2703304",2002,84.6308333333333
"2703304",2003,97.0408333333333
"2703304",2004,100.5425
"2703304",2005,88.385
"2703403",2001,114.373333333333
"2703403",2002,99.94
"2703403",2003,108.493333333333
