"code_muni","year","TASMIN"
"2701506",2001,20.1241666666667
"2701506",2002,20.135
"2701506",2003,20.1708333333333
"2701506",2004,20.2508333333333
"2701506",2005,20.255
"2701605",2001,18.9766666666667
"2701605",2002,19.0358333333333
"2701605",2003,19.1158333333333
"2701605",2004,19.1716666666667
"2701605",2005,19.1908333333333
"2701704",2001,19.6025
"2701704",2002,19.61
"2701704",2003,19.6116666666667
"2701704",2004,19.7016666666667
"2701704",2005,19.6975
"2701803",2001,19.0883333333333
"2701803",2002,19.1483333333333
"2701803",2003,19.2141666666667
"2701803",2004,19.29
"2701803",2005,19.2875
"2701902",2001,19.0616666666667
"2701902",2002,19.08
"2701902",2003,19.0908333333333
"2701902",2004,19.1816666666667
"2701902",2005,19.1708333333333
"2702009",2001,19.08
"2702009",2002,19.0975
"2702009",2003,19.1216666666667
"2702009",2004,19.2108333333333
"2702009",2005,19.1958333333333
"2702108",2001,19.1633333333333
"2702108",2002,19.1683333333333
"2702108",2003,19.1716666666667
"2702108",2004,19.2683333333333
"2702108",2005,19.2666666666667
"2702207",2001,22.1383333333333
"2702207",2002,22.1475
"2702207",2003,22.1641666666667
"2702207",2004,22.2341666666667
"2702207",2005,22.2391666666667
"2702306",2001,21.2883333333333
"2702306",2002,21.2925
"2702306",2003,21.3166666666667
"2702306",2004,21.3825
"2702306",2005,21.3941666666667
"2702355",2001,19.0575
"2702355",2002,19.085
"2702355",2003,19.12
"2702355",2004,19.2158333333333
"2702355",2005,19.2
"2702405",2001,19.5016666666667
"2702405",2002,19.5641666666667
"2702405",2003,19.6458333333333
"2702405",2004,19.6916666666667
"2702405",2005,19.7291666666667
"2702504",2001,18.9175
"2702504",2002,18.9691666666667
"2702504",2003,19.0266666666667
"2702504",2004,19.11
"2702504",2005,19.0991666666667
"2702553",2001,18.7425
"2702553",2002,18.7891666666667
"2702553",2003,18.835
"2702553",2004,18.9283333333333
"2702553",2005,18.9116666666667
"2702603",2001,19.4833333333333
"2702603",2002,19.5033333333333
"2702603",2003,19.5383333333333
"2702603",2004,19.6333333333333
"2702603",2005,19.6208333333333
"2702702",2001,21.3058333333333
"2702702",2002,21.3
"2702702",2003,21.3308333333333
"2702702",2004,21.3866666666667
"2702702",2005,21.41
"2702801",2001,19.8233333333333
"2702801",2002,19.825
"2702801",2003,19.83
"2702801",2004,19.9225
"2702801",2005,19.9233333333333
"2702900",2001,19.3291666666667
"2702900",2002,19.3583333333333
"2702900",2003,19.405
"2702900",2004,19.5108333333333
"2702900",2005,19.495
"2703007",2001,18.3883333333333
"2703007",2002,18.3958333333333
"2703007",2003,18.4058333333333
"2703007",2004,18.5075
"2703007",2005,18.4941666666667
"2703106",2001,19.0575
"2703106",2002,19.085
"2703106",2003,19.12
"2703106",2004,19.2158333333333
"2703106",2005,19.2
"2703205",2001,20.765
"2703205",2002,20.7641666666667
"2703205",2003,20.8033333333333
"2703205",2004,20.8691666666667
"2703205",2005,20.8891666666667
"2703304",2001,19.2941666666667
"2703304",2002,19.3633333333333
"2703304",2003,19.4366666666667
"2703304",2004,19.4941666666667
"2703304",2005,19.5125
"2703403",2001,19.2975
"2703403",2002,19.3508333333333
"2703403",2003,19.4091666666667
"2703403",2004,19.495
"2703403",2005,19.5
"2703502",2001,21.0541666666667
"2703502",2002,21.055
"2703502",2003,21.0641666666667
"2703502",2004,21.1566666666667
"2703502",2005,21.1633333333333
"2703601",2001,22.8491666666667
"2703601",2002,22.855
"2703601",2003,22.8766666666667
"2703601",2004,22.9558333333333
"2703601",2005,22.9583333333333
"2703700",2001,19.3291666666667
"2703700",2002,19.3583333333333
"2703700",2003,19.405
"2703700",2004,19.5108333333333
"2703700",2005,19.495
"2703759",2001,21.2883333333333
"2703759",2002,21.2925
"2703759",2003,21.3166666666667
"2703759",2004,21.3825
"2703759",2005,21.3941666666667
"2703809",2001,19.8233333333333
"2703809",2002,19.825
"2703809",2003,19.83
"2703809",2004,19.9225
"2703809",2005,19.9233333333333
"2703908",2001,19.9391666666667
"2703908",2002,19.94
"2703908",2003,19.9383333333333
"2703908",2004,20.0333333333333
"2703908",2005,20.0408333333333
"2704005",2001,19.6375
"2704005",2002,19.6475
"2704005",2003,19.6691666666667
"2704005",2004,19.7575
"2704005",2005,19.7466666666667
"2704104",2001,19.4833333333333
"2704104",2002,19.5033333333333
"2704104",2003,19.5383333333333
"2704104",2004,19.6333333333333
"2704104",2005,19.6208333333333
"2704203",2001,19.6375
"2704203",2002,19.6475
"2704203",2003,19.6691666666667
"2704203",2004,19.7575
"2704203",2005,19.7466666666667
"2704302",2001,22.2558333333333
"2704302",2002,22.2591666666667
"2704302",2003,22.2766666666667
"2704302",2004,22.35
"2704302",2005,22.3575
"2704401",2001,19.1666666666667
"2704401",2002,19.2125
"2704401",2003,19.265
"2704401",2004,19.3575
"2704401",2005,19.3508333333333
"2704500",2001,22.1733333333333
"2704500",2002,22.1725
"2704500",2003,22.1933333333333
"2704500",2004,22.2808333333333
"2704500",2005,22.2858333333333
"2704609",2001,19.1908333333333
"2704609",2002,19.2558333333333
"2704609",2003,19.325
"2704609",2004,19.3916666666667
"2704609",2005,19.4008333333333
"2704708",2001,22.1383333333333
"2704708",2002,22.1475
"2704708",2003,22.1641666666667
"2704708",2004,22.2341666666667
"2704708",2005,22.2391666666667
"2704807",2001,19.7216666666667
"2704807",2002,19.7333333333333
"2704807",2003,19.7475
"2704807",2004,19.835
"2704807",2005,19.83
"2704906",2001,18.525
"2704906",2002,18.5466666666667
"2704906",2003,18.5708333333333
"2704906",2004,18.6641666666667
"2704906",2005,18.6433333333333
"2705002",2001,18.9766666666667
"2705002",2002,19.0358333333333
"2705002",2003,19.1158333333333
"2705002",2004,19.1716666666667
"2705002",2005,19.1908333333333
"2705101",2001,20.6483333333333
"2705101",2002,20.6491666666667
"2705101",2003,20.6525
"2705101",2004,20.7391666666667
"2705101",2005,20.7508333333333
"2705200",2001,20.4808333333333
"2705200",2002,20.4833333333333
"2705200",2003,20.4891666666667
"2705200",2004,20.5733333333333
"2705200",2005,20.5783333333333
"2705309",2001,18.7425
"2705309",2002,18.7891666666667
"2705309",2003,18.835
"2705309",2004,18.9283333333333
"2705309",2005,18.9116666666667
"2705408",2001,19.2975
"2705408",2002,19.3508333333333
"2705408",2003,19.4091666666667
"2705408",2004,19.495
"2705408",2005,19.5
"2705507",2001,18.9958333333333
"2705507",2002,19.0041666666667
"2705507",2003,19.0091666666667
"2705507",2004,19.1033333333333
"2705507",2005,19.0958333333333
"2705606",2001,19.9391666666667
"2705606",2002,19.94
"2705606",2003,19.9383333333333
"2705606",2004,20.0333333333333
"2705606",2005,20.0408333333333
"2705705",2001,19.1666666666667
"2705705",2002,19.2125
