"Índice de Risco de Impacto para umidade relativa (média)","Índice de Risco de Impacto para umidade relativa (mediana)","Índice de Risco de Impacto para umidade relativa (PCA)"
0.292602316654292,0.3,0.340191779729626
0.475504337971789,0.480883899540955,0.378853518748145
0.370718710266456,0.466027167554916,0.246681317355355
0.293436655381196,0.32984910889469,0.26020149398452
0.317814886446765,0.325407114560092,0.288449454559701
0.375618845684632,0.249908301165888,0.320437185267862
0.462574654702333,0.544484086929946,0.325480846268579
0.263100812965606,0.23,0.266748400493184
0.536291387011274,0.387731890573919,0.454803649355912
0.437721162354266,0.408707011555745,0.358512798333011
0.261081780997234,0.252201837322271,0.257524061970551
0.374530315853969,0.32,0.386825732051256
0.320715469596179,0.33147280426163,0.289145451753898
0.479816226680173,0.539733691419554,0.33018901560852
0.365560389770661,0.375718257688139,0.275692250412983
0.542585710721411,0.502828723390924,0.496256819248366
0.381087453721404,0.331094980063305,0.263627836214923
0.528880898765332,0.639019222441778,0.401775279545759
0.234586572851997,0.23,0.270423096876621
0.359415618554877,0.415968888987934,0.289488140901938
0.394861474071559,0.397998950822933,0.377691828704117
0.42895120919875,0.425082383237041,0.433197076097545
0.350441793559668,0.333899342848869,0.336247192412973
0.336142916399287,0.28,0.344950178781041
0.47732444660657,0.467814089060252,0.387468835056327
0.425792880280013,0.370641116950814,0.389533387188928
0.329037020639504,0.290955099316134,0.313714626022717
0.511156723937436,0.606136824096529,0.415159118850947
0.409091542478879,0.390470494442993,0.417366625584184
0.584144427928376,0.657972050544249,0.467815145646732
0.36184222137509,0.18,0.270335848603162
0.465710090292163,0.521673212848493,0.342977768204428
0.375260181622255,0.348257597264327,0.371509165343611
0.532824674223063,0.546239739047663,0.464522437444474
0.545402076200375,0.63689182877659,0.418531494619517
0.313871854199757,0.19,0.259115365875332
0.400226410672293,0.32,0.400378605538673
0.443158813430602,0.407102817794289,0.424219197820221
0.26076721145125,0.26,0.286055160476199
0.288178439656152,0.25,0.301655414504861
0.432418488850416,0.440589052273312,0.31881835002584
0.487763284248552,0.454970489177176,0.401750136177737
0.488163170767689,0.564283219494486,0.407597941238225
0.186831966213627,0.21,0.228936086595544
0.508529409211544,0.567058780453216,0.383169478825359
0.308469605843915,0.223958733103731,0.276534749073652
0.327310295016751,0.311415520273246,0.328308311453013
0.354634372717915,0.23,0.304898650992352
0.481755269007189,0.504592384916587,0.463486549593283
0.498333102344568,0.469843467070399,0.499711903392375
0.55014031546051,0.583598524481015,0.571646807986276
0.544380610924535,0.596949835178404,0.499303958767714
0.562265507626343,0.560966850431366,0.518980162200349
0.449263737672255,0.44,0.50812903416736
0.424132257566965,0.43638084622519,0.55682294850781
0.248750941081084,0.256800216654161,0.370467296538356
0.551185786410905,0.507535349618403,0.553571092647771
0.306618178096489,0.32,0.366062623136246
0.506216740791441,0.488708914719833,0.466926469031214
0.364431130989255,0.34,0.399583335401702
0.44998603800197,0.41,0.472258972533515
0.561595854930628,0.510225574382154,0.549214823951092
0.516411126593163,0.489852558719588,0.505691541502041
0.456657693550413,0.455878611337092,0.49157414984974
0.483566657731206,0.50736219976927,0.627688805979967
0.397425589985755,0.42,0.479827006652875
0.541153499530517,0.541912162588966,0.56328553938538
0.428916778693804,0.510534760310774,0.631815282115536
0.484593593528142,0.384859378622812,0.751422566982564
0.408662539921446,0.38,0.444178047300766
0.424112889255941,0.44,0.511066421059785
0.479015433749284,0.488392827164775,0.369036630525228
0.55057735961484,0.59,0.689292061527042
0.390370882021336,0.27,0.355473046050516
0.407672420299197,0.28,0.370771738348237
0.389765452733918,0.392004814448021,0.253150513392645
0.498704855077049,0.494221455817057,0.652683018458633
0.448297993088474,0.443352067582737,0.485587719414303
0.418865415047333,0.386900931715729,0.274832648665414
0.428247417272474,0.4,0.457831370809322
0.405407460318693,0.356686618071804,0.356452705375451
0.500598833379652,0.4,0.499447946855959
0.525622846434541,0.43,0.534500578046165
0.422269406223195,0.515835618252487,0.68848859424488
0.552418342122314,0.586770713721542,0.408964017041182
0.502047224392171,0.570243467230781,0.343556259976251
0.393865672618746,0.458133137883552,0.564287140766686
0.356795886662319,0.328416224020445,0.498847847132724
0.394068208732223,0.48,0.546565627617921
0.42613208080035,0.5,0.577737680413817
0.484943929623079,0.528924232609885,0.670869005225051
0.553317936260733,0.48,0.587378351044982
0.493543343359343,0.505469082678686,0.477122917075393
0.371241913777239,0.44,0.500853133713527
0.523791004620387,0.38262810794387,0.415405709925148
0.450741040513549,0.360544716318084,0.316905842148816
0.483060979874655,0.52,0.620338885735241
0.375930400729455,0.279470928788787,0.283387022342813
0.545995671192122,0.68,0.775315100305367
0.497154246372864,0.61,0.694079721755131
0.528596683093377,0.65,0.74828253164479
0.549531301734638,0.528768277474909,0.559510375190089
0.459625570588946,0.365464624240103,0.423670740912867
0.355826949853113,0.374033686012725,0.302628365629645
0.476383153149916,0.481278656810306,0.455323064894199
0.505945326476467,0.51,0.604533606678028
0.470078994745163,0.55138715720094,0.299055594803822
0.336285370410839,0.287431404406771,0.127660508007539
0.360400172690959,0.277815531194694,0.328503414322618
0.397183888736494,0.35,0.428765181229275
0.51421824338969,0.510713741884086,0.433902420516275
0.328806100944035,0.367506177333019,0.203179303672904
0.338521835248275,0.439114048802441,0.515745006786297
0.482288861891408,0.507022152614149,0.265362069937905
0.4899921477354,0.380132750679444,0.357932987638959
0.37607444237853,0.47,0.529032155486866
0.567608745971955,0.630408561239452,0.807580182250002
0.49269232982993,0.423471301647182,0.699679649944102
0.440856980910861,0.397521795051012,0.69954871121159
0.382556361023677,0.273569417050305,0.209270111307048
0.366855950993624,0.279990022455309,0.279410964464557
0.43808311670468,0.32075476036062,0.7683291978975
0.574826068090231,0.51,0.625871294611242
0.518309606323257,0.58,0.681668983870358
0.496558798696688,0.470676440400482,0.75314121026515
0.477057869140758,0.55,0.635520066104108
0.346082987575945,0.226201100124475,0.180622777159181
0.328025698407005,0.377713942797603,0.210514129156721
0.455700749964305,0.429602249892914,0.131779158644919
0.331068512488298,0.164147663990113,0.102318618922896
0.306167988229385,0.444467940093072,0.0656776108751495
0.346100218800348,0.446358468893789,0.0827891409892924
