"Uso e ocupação do solo","Malha rodoviária","Serviços de saúde","Perfil Epidemiológico da Malária","Mobilidade Populacional","Suscetibilidade Social","Índice de Capacidade Adaptativa","Índice de sensibilidade","Índice de Exposição","Índice de Vulnerabilidade","Índice de Risco de Impacto para precipitação (média)","Índice de Risco de Impacto para precipitação (mediana)","Índice de Risco de Impacto para precipitação (PCA)"
0.413288272193228,0,0.265,0.00205412476895097,0.215,0.525,0.265,0.481149339990687,0.206644136096614,0.373074669995344,0.266572935363986,0.22,0.61943184780484
0.79223355512397,0.5,0.415,0.478520493873209,0.2,0.46,0.415,0.549703291725161,0.646116777561985,0.482351645862581,0.466156141141522,0.482351645862581,0.327460590458285
0.456459268868177,0,0.5,0.0031464461443354,0.26,0.52,0.5,0.49671390579757,0.228229634434089,0.498356952898785,0.298862195777625,0.228229634434089,0.56260271624592
0.433306383661579,0.5,0.445,0.0108976322099325,0.645,0.29,0.445,0.490434661548189,0.466653191830789,0.467717330774095,0.384790174201628,0.466653191830789,0.443266024277039
0.161154571213767,0.5,0.1,0,0.515,0.465,0.1,0.562697333195558,0.330577285606884,0.331348666597779,0.277308650734888,0.330577285606884,0.604721118664253
0.150746277533801,0.5,0.305,0,0.28,0.48,0.305,0.474639061480426,0.3253731387669,0.389819530740213,0.321730889835704,0.3253731387669,0.540310254328603
0.499334161399452,0,0.775,0,0.24,0.54,0.775,0.502310254200434,0.249667080699726,0.638655127100217,0.362774069266648,0.249667080699726,0.462653975223045
0.707105018763752,0.5,0.56,0.0766675689206933,0.255,0.545,0.56,0.532171604827997,0.603552509381876,0.546085802413999,0.449879437265292,0.546085802413999,0.343688360026066
0.422027969652217,0,0.145,0.292293869131357,0.275,0.49,0.145,0.555505024062169,0.211013984826109,0.350252512031084,0.273755498952398,0.26,0.612294469598831
0.275787583870879,0.5,0.89,0.732654297940091,0.84,0.47,0.89,0.892970576565073,0.387893791935439,0.891485288282536,0.513126360072659,0.387893791935439,0.232243131894978
0.317742731145888,0.5,0.815,0.00750170650209424,0.235,0.48,0.815,0.45758284885311,0.408871365572944,0.636291424426555,0.431720929999833,0.408871365572944,0.365826458361334
0.101875992485605,0.5,0.12,0.0125126860846706,0.165,0.425,0.12,0.388487107918766,0.300937996242802,0.254243553959383,0.278393850067395,0.28,0.612870355346285
0.543819089764566,0,0.37,0.630164903983117,0.275,0.56,0.37,0.694817937665011,0.271909544882283,0.532408968832506,0.388106171238263,0.36,0.43998545961722
0.663421899495355,0,0.325,0,0.175,0.52,0.325,0.460020780441384,0.331710949747678,0.392510390220692,0.32140711332279,0.331710949747678,0.540181230202969
0.580263379653711,0.5,0.8,0.00767403382693521,0.445,0.475,0.8,0.542558737395147,0.540131689826855,0.671279368697573,0.480470352841476,0.540131689826855,0.292621407239071
0.503039732799804,0.5,0.165,0.00193328494018198,0.735,0.375,0.165,0.589228787956201,0.501519866399902,0.377114393978101,0.379544753459334,0.377114393978101,0.458510281286025
0.930841931338991,0.5,0.23,0.632645427255411,0.785,0.38,0.23,0.777070699836529,0.715420965669495,0.503535349918264,0.516318771862587,0.503535349918264,0.256463098264611
0.161523447914017,0.5,0.705,0.00425137777787409,0.45,0.5,0.705,0.562349574794248,0.330761723957009,0.633674787397124,0.391478837118044,0.330761723957009,0.422160076591319
0.795476917784497,0.5,0.785,0.0857745804735503,0.2,0.525,0.785,0.496457221827086,0.647738458892249,0.640728610913543,0.526155689935264,0.640728610913543,0.23151108530588
0.0735248810642186,0,0.475,0.00186589151482527,0.17,0.445,0.475,0.402697702653374,0.0367624405321093,0.438848851326687,0.241870430619599,0.25,0.651774232895137
0.554095010662436,0,0.5,0,0.225,0.495,0.5,0.462561645681401,0.277047505331218,0.4812808228407,0.346109442723973,0.28,0.500421220061135
0.332409533695861,0.5,0.265,0.0090227377934652,0.7,0.41,0.265,0.602278076149936,0.416204766847931,0.433639038074968,0.376614601640966,0.416204766847931,0.459774793680622
0.433377825137492,0.5,0.32,0.00205440556043242,0.22,0.52,0.32,0.479547006285182,0.466688912568746,0.399773503142591,0.375487471903779,0.399773503142591,0.462826459359048
0.484262413985997,0.5,0.335,0.0804861450862694,0.185,0.565,0.335,0.518462441985965,0.492131206992999,0.426731220992983,0.406287475995327,0.426731220992983,0.418433217437166
0.167294380725076,0.5,0.5,0.0022744301819393,0.14,0.43,0.5,0.379000866735536,0.333647190362538,0.439500433367768,0.334382541243435,0.333647190362538,0.517986821050785
0.344436617199251,0,0.625,0.00459316329046174,0.165,0.565,0.625,0.490403708817585,0.172218308599625,0.557701854408793,0.316640054336139,0.22,0.535170677362247
0.808770105991606,0.5,0.435,0.192267871138392,0.135,0.535,0.435,0.503971483308744,0.654385052995803,0.469485741654372,0.471290264883392,0.469485741654372,0.321772399556039
0.654146236962663,0.5,0.285,0.00960988051256765,0.125,0.545,0.285,0.459963826201945,0.577073118481332,0.372481913100973,0.413185010527435,0.372481913100973,0.411731241347167
0.581443449817171,0,0.4,0,0.195,0.53,0.4,0.475889068993402,0.290721724908586,0.437944534496701,0.332888753135095,0.290721724908586,0.521894980102069
0.712625217533682,0.5,0.69,0.0117504220258573,0.355,0.505,0.69,0.527899866345568,0.606312608766841,0.608949933172784,0.498420847313208,0.606312608766841,0.273066006796265
0.453207730071573,0.5,0.295,0.00904650557191749,0.16,0.565,0.295,0.489444205805146,0.476603865035786,0.392222102902573,0.402941989312786,0.392222102902573,0.427202180811165
0.816551969953088,0.5,0.76,1,0.23,0.505,0.76,0.730572898119251,0.658275984976544,0.745286449059626,0.571187478012056,0.658275984976544,0.160659912488162
0.335435060790505,0,1,0,0.245,0.505,1,0.478429934233418,0.167717530395253,0.739214967116709,0.368977499170654,0.2,0.447026553775951
0.543375481365695,0.5,0.65,0.00473923269882867,0.53,0.51,0.65,0.603670913473555,0.521687740682847,0.626835456736778,0.462841065806542,0.521687740682847,0.321332136786422
0.697332343619499,0,0.27,0.648146056322152,0.225,0.545,0.27,0.667220860503243,0.34866617180975,0.468610430251622,0.37575886735379,0.34866617180975,0.459912648479438
0.592616174841176,0.5,0.94,0.00278506563511554,0.075,0.56,0.94,0.448232947743095,0.546308087420588,0.694116473871548,0.523474853764045,0.546308087420588,0.233455901996054
0.774108275129348,0.5,0.725,0.455522708943152,0.325,0.54,0.725,0.655931199220609,0.637054137564674,0.690465599610304,0.54583991239166,0.637054137564674,0.200738103006672
0.315560890065902,0,0.75,0,0.13,0.52,0.75,0.441025566462357,0.157780445032951,0.595512783231179,0.33109774275471,0.24,0.512703158847293
0.492369601661294,0,0.53,0.249784292056667,0.68,0.525,0.53,0.741465198910054,0.246184800830647,0.635732599455027,0.380639133428558,0.26,0.439669008466636
0.625282942011866,0.5,0.3,0.0219509165307127,0.245,0.55,0.3,0.517520561365686,0.562641471005933,0.408760280682843,0.423800583896259,0.408760280682843,0.394471612833154
0.541024750434155,0,0,0.0141052701614356,0.19,0.57,0,0.507128230074318,0.270512375217078,0.253564115037159,0.251358830084746,0.253564115037159,0.649685107290404
0.27268802346584,0,0.5,0,0.13,0.545,0.5,0.459590494532371,0.13634401173292,0.479795247266185,0.285379752999702,0.24,0.586114442464215
0.381193024879608,0.5,0.5,0.0416014794581507,0.875,0.505,0.5,0.755115859940459,0.440596512439804,0.627557929970229,0.409384814136678,0.440596512439804,0.39476986144021
0.688315677228867,0,0.5,0,0.365,0.52,0.5,0.540222795019498,0.344157838614434,0.520111397509749,0.361423078708061,0.344157838614434,0.473339657799932
0.520184566538292,0,0.5,0,0.2,0.52,0.5,0.470573677096399,0.260092283269146,0.4852868385482,0.321793040605782,0.260092283269146,0.532602664012697
0.410176667575899,0.5,0.745,0.0229477923601887,0.615,0.55,0.745,0.673961099042741,0.455088333787949,0.709480549521371,0.451522961103107,0.455088333787949,0.330002033300242
0.660822887868911,0.5,0.68,0.016549122038657,0.085,0.555,0.68,0.452298781166648,0.580411443934455,0.566149390583324,0.455520278172593,0.566149390583324,0.335073323259352
0.15055518670062,0,0.08,0.00325595527961134,0.195,0.525,0.08,0.473017665449627,0.0752775933503102,0.276508832724814,0.183928808691708,0.2,0.743788110439043
0.63375859692594,0.5,0.865,0.0122834968520894,0.19,0.555,0.865,0.495518390919286,0.56687929846297,0.680259195459643,0.502379497974204,0.56687929846297,0.261787852087279
0.44783903929577,0,0.485,0.03355884006972,0.17,0.54,0.485,0.481436254748813,0.223919519647885,0.483218127374406,0.305712549007431,0.223919519647885,0.555429588337807
0.622646800892593,0,0.265,0.0286907492709815,0.21,0.57,0.265,0.51934052476293,0.311323400446296,0.392170262381465,0.337831220942587,0.311323400446296,0.519508615096517
0.452739178418098,0,0.75,0.00577838567017694,0.165,0.535,0.75,0.468432145134826,0.226369589209049,0.609216072567413,0.355195220592154,0.23,0.476752061541584
0.509740429148206,0.5,0.665,0.0222264007313376,0.135,0.535,0.665,0.460020064938241,0.504870214574103,0.56251003246912,0.462460082347741,0.504870214574103,0.329490959163652
0.20735352683837,0.5,0.5,0,0.665,0.5,0.5,0.652005612423667,0.353676763419185,0.576002806211833,0.399893189877006,0.353676763419185,0.416409057605335
0.440555249275446,0.5,0.6,0.00200672598462339,0.68,0.465,0.6,0.632865139019285,0.470277624637723,0.616432569509642,0.455570064715788,0.470277624637723,0.334131334565699
0.674128098797097,0.5,0.65,0.0418626816972405,0.275,0.53,0.65,0.520478782460993,0.587064049398548,0.585239391230496,0.510767813543015,0.585239391230496,0.260226197699589
0.694384045264263,0.5,0.585,0.00238633241216361,0.735,0.51,0.585,0.689596500844532,0.597192022632131,0.637298250422266,0.514830091018132,0.597192022632131,0.248841011306798
0.622778494462151,0.5,0.725,0.656023349260981,0.45,0.47,0.725,0.708538227132314,0.561389247231075,0.716769113566157,0.579386120265744,0.561389247231075,0.157002759080139
0.357551592124278,0.5,0.4,0,0.53,0.455,0.4,0.561603099960562,0.428775796062139,0.480801549980281,0.399859115347473,0.428775796062139,0.423644020525004
0.372907420960331,0.5,0,0,0.495,0.6,0,0.654505627449619,0.436453710480165,0.327252813724809,0.397902174734992,0.43,0.442511999615258
0.27831521849505,0,0,0,0.09,0.645,0,0.516965572164401,0.139157609247525,0.2584827860822,0.262546798443242,0.2584827860822,0.639914973365932
0.51532225407487,0.5,0.77,0.464733690529907,0.245,0.54,0.77,0.624542735644209,0.507661127037435,0.697271367822104,0.57164416495318,0.51,0.171500413838445
0.493539856505575,0.5,0.5,0,0.305,0.56,0.5,0.544599727959484,0.496769928252788,0.522299863979742,0.46302326407751,0.496769928252788,0.333439429804415
0.35603898671254,0,0.295,0.00423851530436275,0.22,0.615,0.295,0.550658270066166,0.17801949335627,0.422829135033083,0.330282876129784,0.39,0.531622523595985
0.478182023229524,0.5,0.815,0.0294397292743946,0.28,0.515,0.815,0.508239386026037,0.489091011614762,0.661619693013019,0.48690356820926,0.489091011614762,0.28733982587645
0.54630822083282,0,0.36,0.179532367228702,0.245,0.61,0.36,0.602807207224516,0.27315411041641,0.481403603612258,0.394852571342889,0.43,0.43660020520988
0.582338000021305,0.5,0.235,0.103110419526022,0.69,0.335,0.235,0.566681418764184,0.541169000010652,0.400840709382092,0.420669903130915,0.400840709382092,0.400327422356164
0.520756781245912,0.5,0.835,0.463887849194675,0.23,0.565,0.835,0.636557297134252,0.510378390622956,0.735778648567126,0.572052346396694,0.510378390622956,0.166684589907603
0.238076961287226,0,0,0,0.255,0.61,0,0.560623790789481,0.119038480643613,0.28031189539474,0.249783458679451,0.28031189539474,0.655136725642717
0.480494927502158,0.5,0.71,0.376274197083783,0.3,0.495,0.71,0.591477696562377,0.490247463751079,0.650738848281189,0.490328770677423,0.490247463751079,0.283974341991645
